_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
63db4c64863ed52530e31e7c||119.12|98.68|119.12|83.59|149,0,0,0|time|15||0|15.01|0|0|false|false|english|none|normal|false|false|false||1675316324600
63db4c53863ed52530e31e02||111.2|99.29|111.2|76.97|139,0,0,0|time|15||0|15|0|0|false|false|english|none|normal|false|false|false||1675316307518
63db4c43863ed52530e31d86||93.6|98.32|93.6|69.66|117,0,0,0|time|15||0|15|0|0|false|false|english|none|normal|false|false|false||1675316291184
63db4963863ed52530dd9c5e||101.6|98.5|104.8|79.88|127,1,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675315555000
63db3c4e863ed52530ccf64e||100.8|91.22|105.6|74.13|126,1,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675312206000
63db3c3e863ed52530ca3f14||94.4|96.83|99.2|75.49|118,0,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675312190000
63db3c2d863ed52530c78739||108.8|99.27|108.8|70.12|136,0,0,0|time|15|-1|1|15|0|3.86|false|false|english|none|normal|false|false|false||1675312173000
63db3c18863ed52530c78696||88|92.91|88|76.83|110,0,0,0|time|15|-1|3|15|0|4.08|false|false|english|none|normal|false|false|false||1675312152000
63db3a5f863ed52530c7795c||112|98.59|112|72.76|140,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675311711000
63db3a4f863ed52530c778ed||96|94.66|96|73.4|120,0,0,0|time|15|-1|2|15|0|14.57|false|false|english|none|normal|false|false|false||1675311695000
63db3a07863ed52530c776cb||98.4|92.65|108|72.85|123,5,2,0|time|15|-1|2|15|0|16.93|false|false|english|none|normal|false|false|false||1675311623000
63db39e4863ed52530c775b3||109.53|96.67|115.92|84.51|137,2,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1675311588000
63da9627863ed52530c2b6a6||104.8|96.5|110.4|69.88|131,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675269671000
63d9e65e863ed52530adabfa||105.6|95.17|116|75.91|132,3,2,0|time|15|-1|1|15|0|11.36|false|false|english|none|normal|false|false|false||1675224670000
63d9e641863ed52530adab25||96.8|93.28|100|64.97|121,2,0,0|time|15|-1|1|15|0|2.41|false|false|english|none|normal|false|false|false||1675224641000
63d9e61a863ed52530ada9f5||106.4|95.86|116|70.82|133,5,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675224602000
63d9e60a863ed52530ada979||88|92.74|88|68.32|110,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675224586000
63d9e261863ed52530a82182||104.8|97.76|104.8|69.02|131,0,0,0|time|15|-1|2|15|0|9.39|false|false|english|none|normal|false|false|false||1675223649000
63d9e128863ed52530a81853||105.6|98.56|110.4|85.58|132,0,1,0|time|15|-1|1|15|0|5.3|false|false|english|none|normal|false|false|false||1675223336000
63d9e111863ed52530a817a4||104|99.24|104|74.41|130,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675223313000
63d9e0ba863ed52530a8151e||93.6|92.37|99.2|73.4|117,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675223226000
63d9e0a9863ed52530a81496||93.6|95.2|93.6|71.05|117,0,0,0|time|15|-1|1|15|0|1.15|false|false|english|none|normal|false|false|false||1675223209000
63d9e096863ed52530a8140e||104.8|95.71|108|74.45|131,1,0,0|time|15|-1|2|15|0|8.49|false|false|english|none|normal|false|false|false||1675223190000
63d924ad00e21bb4d3aff53e||101.6|96.97|101.6|72.73|127,0,0,0|time|15|-1|1|15|0|4.53|false|false|english|none|normal|false|false|false||1675175085000
63d9249700e21bb4d3aff441||103.2|97.04|103.2|71.89|129,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675175063000
63d9248600e21bb4d3aff393||84|91.67|103.2|72.73|105,5,0,2|time|15|-1|1|15|0|4.71|false|false|english|none|normal|false|false|false||1675175046000
63d9243c00e21bb4d3aff037||104|95.65|104|74.53|130,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675174972000
63d9242b00e21bb4d3afef61||91.2|89.21|111.2|76.87|114,9,2,0|time|15|-1|2|15|0|22.75|false|false|english|none|normal|false|false|false||1675174955000
63d923d000e21bb4d3afeb17||101.6|96.21|101.6|69.17|127,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675174864000
63d923bd00e21bb4d3afea46||89.6|94.26|95.2|66.45|112,2,1,0|time|15|-1|4|15|0|23.84|false|false|english|none|normal|false|false|false||1675174845000
63d9238400e21bb4d3afe7a9||112|100|112|81.37|140,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675174788000
63d8e29dee119f4027c4ca0d||98.4|93.28|98.4|66.43|123,0,0,0|time|15|-1|3|15|0|13.76|false|false|english|none|normal|false|false|false||1675158173000
63d8d98aee119f4027b9b487||104|99.24|104|79.75|130,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675155850000
63d8d979ee119f4027b9b423||100|99.21|100|68.12|125,0,0,0|time|15|-1|1|15|0|2.54|false|false|english|none|normal|false|false|false||1675155833000
63d8d440ee119f4027aeb9d1||109.6|100|109.6|81.3|137,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675154496000
63d8d430ee119f4027aeb969||95.2|97.58|95.2|68.32|119,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675154480000
63d8d238ee119f4027aeabd3||93.6|95.31|99.2|74.37|117,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675153976000
63d8d1e3ee119f4027aea988||93.6|96.69|93.6|73.04|117,0,0,0|time|15|-1|1|15|0|9.72|false|false|english|none|normal|false|false|false||1675153891000
63d8d1c7ee119f4027aea8f2||97.6|98.39|97.6|80.02|122,0,0,0|time|15|-1|1|15|0|14.27|false|false|english|none|normal|false|false|false||1675153863000
63d8ce90ee119f4027a929fc||81.6|90.98|94.4|84.53|102,3,2,0|time|15|-1|5|15|0|16.41|false|false|english|none|normal|false|false|false||1675153040000
63d8cb6bee119f4027a3a9fb||87.2|92|96.8|66.73|109,4,2,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675152235000
63d8c916ee119f40279e3093||84.8|91.94|91.2|67.71|106,3,0,1|time|15|-1|1|15|0|1.56|false|false|english|none|normal|false|false|false||1675151638000
63d8c901ee119f40279e3010||104.73|100|104.73|76.92|131,0,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1675151617000
63d8c668ee119f402798b3a5||109.6|100|109.6|78.15|137,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675150952000
63d8c658ee119f402798b337||106.19|97.84|106.19|74.63|133,0,0,0|time|15|-1|1|15.03|0|0.69|false|false|english|none|normal|false|false|false||1675150936000
63d8aa27ee119f40276c9f56||80.8|87.39|85.6|56.75|101,3,1,0|time|15|-1|1|15|0|13.84|false|false|english|none|normal|false|false|false||1675143719000
63d8aa08ee119f40276c9e71||104|95.62|104|76.73|130,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675143688000
63d8a9f7ee119f40276c9df7||115.2|99.32|115.2|81.83|144,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675143671000
63d8a9cbee119f40276c9c99||101.6|100|101.6|76.43|127,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675143627000
63d8a9baee119f40276c9c16||96.8|93.85|96.8|63.36|121,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675143610000
63d8a9aaee119f40276c9b8e||84|90.91|88.8|58.67|105,2,0,0|time|15|-1|3|15|0|14.56|false|false|english|none|normal|false|false|false||1675143594000
63d8a8d4ee119f40276c9548||93.6|96.06|98.4|62.7|117,0,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675143380000
63d8a8c4ee119f40276c94d1||89.54|93.08|94.34|80.39|112,0,1,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1675143364000
63d8a8b3ee119f40276c9444||97.6|93.33|103.2|74.34|122,2,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675143347000
63d8a8a2ee119f40276c93c7||99.2|89.44|108.8|70.66|124,6,1,1|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675143330000
63d8a892ee119f40276c933e||116.8|98.03|121.6|79.34|146,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675143314000
63d8a83eee119f40276c90ce||100|98.43|100|73.46|125,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675143230000
63d8a82eee119f40276c9055||80|89.74|86.4|59.43|100,1,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675143214000
63d8a81dee119f40276c8fe3||99.93|95.45|99.93|61.05|125,0,0,0|time|15|-1|1|15.01|0|0.91|false|false|english|none|normal|false|false|false||1675143197000
63d7e9389d20b701f8f63d7b||110.4|97.9|114.4|78.72|138,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675094328000
63d7e9289d20b701f8f63ca6||112.8|99.3|112.8|79.28|141,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675094312000
63d7e66059d4404eaf854410||99.2|97.64|99.2|78.93|124,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675093600000
63d7e65059d4404eaf854328||97.6|96.88|97.6|71.34|122,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675093584000
63d7ddac59d4404eaf74986c||101.6|93.53|111.2|76.21|127,6,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675091372000
63d7dd9c59d4404eaf749782||104|96.32|104|63|130,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675091356000
63d7dd8c59d4404eaf749696||104|97.04|104|74.66|130,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675091340000
63d7dcbb59d4404eaf748c8d||108|95.74|108|72.59|135,0,0,0|time|15|-1|1|15|0|8.64|false|false|english|none|normal|false|false|false||1675091131000
63d7dca059d4404eaf748b24||81.6|94.55|85.6|59.67|102,2,0,0|time|15|-1|1|15|0|14.89|false|false|english|none|normal|false|false|false||1675091104000
63d7dc7f59d4404eaf74899c||100|98.43|100|71.77|125,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675091071000
63d7901b59d4404eaffad0b0||88|90.15|100|58.91|110,5,0,1|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675071515000
63d7900b59d4404eaffad036||116.72|95.45|120.72|77.1|146,4,0,1|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1675071499000
63d77df559d4404eafdf49cb||108|98.56|111.2|75.56|135,1,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675066869000
63d77de559d4404eafdf4940||105.6|94.41|114.4|78.04|132,6,1,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675066853000
63d77dc759d4404eafdf4853||119.2|98.04|119.2|78.46|149,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675066823000
63d77db559d4404eafdf47e1||106.4|95.74|106.4|71.51|133,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675066805000
63d77da559d4404eafdf476a||105.53|96.4|109.53|75.56|132,2,0,0|time|15|-1|1|15.01|0|6.51|false|false|english|none|normal|false|false|false||1675066789000
63d762cb59d4404eafb35041||99.2|90.41|112|75.55|124,5,2,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675059915000
63d762ba59d4404eafb34fcc||113.6|96.05|121.6|79.03|142,2,2,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675059898000
63d762aa59d4404eafb34f58||116|100|116|82.42|145,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675059882000
63d7629a59d4404eafb34eda||106.4|96.38|106.4|68.2|133,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675059866000
63d7628959d4404eafb34e74||109.6|95.92|109.6|74.68|137,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675059849000
63d7612f59d4404eafb34528||115.92|95.48|119.12|82.81|145,2,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1675059503000
63d7611f59d4404eafb344a6||113.6|96.03|117.6|81.34|142,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675059487000
63d7610f59d4404eafb3443f||122.4|100|122.4|84.31|153,0,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675059471000
63d760d659d4404eafb342bb||128.8|98.18|132|83.74|161,2,0,0|time|15|-1|0|15|0|0|false|false|english|none|normal|false|false|false||1675059414000
63d760c659d4404eafb34240||101.53|97.78|101.53|74.34|127,0,0,0|time|15|-1|0|15.01|0|0|false|false|english|none|normal|false|false|false||1675059398000
63d760b559d4404eafb341cd||103.2|96.32|105.6|63.66|129,1,0,0|time|15|-1|2|15|0|2.14|false|false|english|none|normal|false|false|false||1675059381000
