,wpm,acc,rawWpm,consistency,charStats,testDuration,language
0,119.12,98.68,119.12,83.59,"149,0,0,0",15.01,english
1,111.2,99.29,111.2,76.97,"139,0,0,0",15.0,english
2,93.6,98.32,93.6,69.66,"117,0,0,0",15.0,english
3,101.6,98.5,104.8,79.88,"127,1,0,0",15.0,english
4,100.8,91.22,105.6,74.13,"126,1,1,0",15.0,english
5,94.4,96.83,99.2,75.49,"118,0,1,0",15.0,english
6,108.8,99.27,108.8,70.12,"136,0,0,0",15.0,english
7,88.0,92.91,88.0,76.83,"110,0,0,0",15.0,english
8,112.0,98.59,112.0,72.76,"140,0,0,0",15.0,english
9,96.0,94.66,96.0,73.4,"120,0,0,0",15.0,english
10,98.4,92.65,108.0,72.85,"123,5,2,0",15.0,english
11,109.53,96.67,115.92,84.51,"137,2,0,0",15.01,english
12,104.8,96.5,110.4,69.88,"131,2,0,0",15.0,english
13,105.6,95.17,116.0,75.91,"132,3,2,0",15.0,english
14,96.8,93.28,100.0,64.97,"121,2,0,0",15.0,english
15,106.4,95.86,116.0,70.82,"133,5,0,0",15.0,english
16,88.0,92.74,88.0,68.32,"110,0,0,0",15.0,english
17,104.8,97.76,104.8,69.02,"131,0,0,0",15.0,english
18,105.6,98.56,110.4,85.58,"132,0,1,0",15.0,english
19,104.0,99.24,104.0,74.41,"130,0,0,0",15.0,english
20,93.6,92.37,99.2,73.4,"117,2,0,0",15.0,english
21,93.6,95.2,93.6,71.05,"117,0,0,0",15.0,english
22,104.8,95.71,108.0,74.45,"131,1,0,0",15.0,english
23,101.6,96.97,101.6,72.73,"127,0,0,0",15.0,english
24,103.2,97.04,103.2,71.89,"129,0,0,0",15.0,english
25,84.0,91.67,103.2,72.73,"105,5,0,2",15.0,english
26,104.0,95.65,104.0,74.53,"130,0,0,0",15.0,english
27,91.2,89.21,111.2,76.87,"114,9,2,0",15.0,english
28,101.6,96.21,101.6,69.17,"127,0,0,0",15.0,english
29,89.6,94.26,95.2,66.45,"112,2,1,0",15.0,english
30,112.0,100.0,112.0,81.37,"140,0,0,0",15.0,english
31,98.4,93.28,98.4,66.43,"123,0,0,0",15.0,english
32,104.0,99.24,104.0,79.75,"130,0,0,0",15.0,english
33,100.0,99.21,100.0,68.12,"125,0,0,0",15.0,english
34,109.6,100.0,109.6,81.3,"137,0,0,0",15.0,english
35,95.2,97.58,95.2,68.32,"119,0,0,0",15.0,english
36,93.6,95.31,99.2,74.37,"117,2,0,0",15.0,english
37,93.6,96.69,93.6,73.04,"117,0,0,0",15.0,english
38,97.6,98.39,97.6,80.02,"122,0,0,0",15.0,english
39,81.6,90.98,94.4,84.53,"102,3,2,0",15.0,english
40,87.2,92.0,96.8,66.73,"109,4,2,0",15.0,english
41,84.8,91.94,91.2,67.71,"106,3,0,1",15.0,english
42,104.73,100.0,104.73,76.92,"131,0,0,0",15.01,english
43,109.6,100.0,109.6,78.15,"137,0,0,0",15.0,english
44,106.19,97.84,106.19,74.63,"133,0,0,0",15.03,english
45,80.8,87.39,85.6,56.75,"101,3,1,0",15.0,english
46,104.0,95.62,104.0,76.73,"130,0,0,0",15.0,english
47,115.2,99.32,115.2,81.83,"144,0,0,0",15.0,english
48,101.6,100.0,101.6,76.43,"127,0,0,0",15.0,english
49,96.8,93.85,96.8,63.36,"121,0,0,0",15.0,english
50,84.0,90.91,88.8,58.67,"105,2,0,0",15.0,english
51,93.6,96.06,98.4,62.7,"117,0,1,0",15.0,english
52,89.54,93.08,94.34,80.39,"112,0,1,0",15.01,english
53,97.6,93.33,103.2,74.34,"122,2,1,0",15.0,english
54,99.2,89.44,108.8,70.66,"124,6,1,1",15.0,english
55,116.8,98.03,121.6,79.34,"146,2,0,0",15.0,english
56,100.0,98.43,100.0,73.46,"125,0,0,0",15.0,english
57,80.0,89.74,86.4,59.43,"100,1,1,0",15.0,english
58,99.93,95.45,99.93,61.05,"125,0,0,0",15.01,english
59,110.4,97.9,114.4,78.72,"138,2,0,0",15.0,english
