StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
0050,6903171,8921,821124932,119.1,119.45,118.45,119.0,0.7,2023-02-01
0051,29337,190,1584697,53.85,54.15,53.85,54.15,0.45,2023-02-01
0052,457418,494,47849437,105.05,105.3,104.1,105.05,0.85,2023-02-01
0053,25293,1012,1467013,58.05,58.05,57.95,58.0,0.5,2023-02-01
0055,373503,255,8363243,22.43,22.43,22.34,22.4,0.04,2023-02-01
0056,16136394,10764,430082824,26.6,26.68,26.59,26.67,0.13,2023-02-01
0057,6024,886,518775,86.2,86.4,86.0,86.4,0.4,2023-02-01
0061,194914,1014,3878668,20.0,20.0,19.8,19.99,0.03,2023-02-01
006203,5263,821,300663,57.4,57.4,57.2,57.2,0.4,2023-02-01
006204,25184,850,1931902,76.55,76.75,76.55,76.75,0.25,2023-02-01
006205,2215879,782,73921700,33.58,33.59,33.21,33.34,-0.24,2023-02-01
006206,86431,1085,2774340,32.18,32.39,31.89,32.09,-0.12,2023-02-01
006207,319259,23,8364248,26.22,26.35,26.04,26.18,-0.02,2023-02-01
006208,2324732,4054,160014092,68.8,69.1,68.55,68.95,0.35,2023-02-01
00625K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
00631L,2696879,1557,297143774,110.45,110.65,109.3,110.55,1.25,2023-02-01
00632R,109589195,4854,594109239,5.41,5.45,5.4,5.42,-0.02,2023-02-01
00633L,12847781,2446,560796363,44.17,44.17,43.0,43.62,-0.52,2023-02-01
00634R,944000,98,3959560,4.17,4.23,4.17,4.21,0.03,2023-02-01
00635U,586199,177,14467500,24.67,24.7,24.64,24.66,0.06,2023-02-01
00636,1212911,837,27792170,23.03,23.07,22.77,22.98,-0.05,2023-02-01
00636K,200,2,1526,7.63,7.63,7.63,7.63,-0.03,2023-02-01
00637L,60073943,8798,1034127542,17.37,17.42,16.96,17.22,-0.15,2023-02-01
00638R,426000,83,3742890,8.76,8.84,8.74,8.8,0.04,2023-02-01
00639,892523,219,12346705,13.86,13.91,13.77,13.87,0.04,2023-02-01
00640L,343356,48,10087717,29.42,29.5,29.14,29.14,-0.14,2023-02-01
00641R,407015,67,3848342,9.45,9.51,9.44,9.48,-0.04,2023-02-01
00642U,1887600,824,31600053,16.72,16.77,16.7,16.73,0.3,2023-02-01
00643,374176,66,5958111,15.83,16.0,15.82,15.97,0.15,2023-02-01
00643K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-02-01
00645,59231,1021,1558225,26.43,26.43,26.19,26.25,-0.17,2023-02-01
00646,404241,364,15239410,37.73,37.75,37.67,37.67,0.36,2023-02-01
00647L,142393,79,7769396,54.6,54.65,54.45,54.65,1.3,2023-02-01
00648R,1846000,320,13157670,7.14,7.14,7.12,7.14,-0.08,2023-02-01
00650L,7119190,950,115949159,16.32,16.41,16.06,16.3,0.11,2023-02-01
00651R,1494000,126,11486810,7.71,7.75,7.62,7.68,-0.03,2023-02-01
00652,764267,999,22172464,28.93,29.15,28.93,29.04,0.11,2023-02-01
00653L,957208,326,41161561,42.9,43.25,42.75,43.22,0.99,2023-02-01
00654R,434030,42,3469690,8.02,8.02,7.98,7.98,-0.12,2023-02-01
00655L,2795941,656,86625437,31.26,31.34,30.51,30.99,-0.27,2023-02-01
00656R,384000,18,3023540,7.85,7.93,7.85,7.89,0.03,2023-02-01
00657,103000,5,3357690,32.6,32.6,32.5,32.5,-0.18,2023-02-01
00657K,200,2,2170,10.85,10.85,10.85,10.85,-0.02,2023-02-01
00660,5156,1000,157574,30.7,30.7,30.69,30.69,0.28,2023-02-01
00661,2000,2,69740,34.9,34.9,34.84,34.84,0.0,2023-02-01
00662,1233129,414,57240528,46.56,46.56,46.39,46.39,0.49,2023-02-01
00663L,334000,46,33674150,101.3,101.5,100.55,101.4,1.1,2023-02-01
00664R,6694742,298,41064226,6.13,6.15,6.12,6.12,-0.03,2023-02-01
00665L,20356093,1941,210177174,10.3,10.46,10.17,10.39,0.19,2023-02-01
00666R,412000,58,5441200,13.23,13.32,13.15,13.18,-0.16,2023-02-01
00668,16307,965,603451,37.07,37.11,37.04,37.04,0.3,2023-02-01
00668K,200,2,2470,12.35,12.35,12.35,12.35,0.12,2023-02-01
00669R,9721097,821,75953966,7.82,7.82,7.8,7.82,-0.07,2023-02-01
00670L,3030491,1073,175243868,57.7,58.05,57.65,58.0,1.5,2023-02-01
00671R,14613607,770,88404804,6.05,6.06,6.04,6.05,-0.08,2023-02-01
00673R,16991430,1795,146853849,8.65,8.67,8.62,8.66,-0.14,2023-02-01
00674R,741020,95,9062669,12.23,12.25,12.22,12.23,-0.05,2023-02-01
00675L,1368310,474,60058240,44.07,44.18,43.64,44.13,0.49,2023-02-01
